humerus,ulna,femur,tibia,species,sex,HSEMA,USEMA,FSEMA,TSEMA
5.426811254,13.88468221,19.9900929,26.65406479,A,F,5.308621254,14.03623221,20.2067129,26.60629479
5.681989432,14.45379844,20.17766359,26.15899487,A,F,5.563799432,14.60534844,20.39428359,26.11122487
5.84474033,14.11084786,20.5182781,26.41920554,A,F,5.72655033,14.26239786,20.7348981,26.37143554
7.099208108,13.46465743,19.84550943,25.82649842,A,F,6.981018108,13.61620743,20.06212943,25.77872842
7.097852132,14.12511005,18.397782,27.17176501,A,F,6.979662132,14.27666005,18.614402,27.12399501
6.884276255,13.67580537,20.10287884,26.77579007,A,F,6.766086255,13.82735537,20.31949884,26.72802007
8.571459272,12.59639226,18.44719832,26.57829611,A,F,8.453269272,12.74794226,18.66381832,26.53052611
7.22176971,13.05083562,20.42196804,27.56913478,A,F,7.10357971,13.20238562,20.63858804,27.52136478
6.136409553,14.09831363,21.34376562,29.03791841,A,F,6.018219553,14.24986363,21.56038562,28.99014841
7.39189231,14.18998168,20.26107185,26.43136958,A,F,7.27370231,14.34153168,20.47769185,26.38359958
7.716294676,14.14485813,20.19023874,26.13504103,A,F,7.598104676,14.29640813,20.40685874,26.08727103
7.551471617,14.79539104,19.11797265,27.17183489,A,F,7.433281617,14.94694104,19.33459265,27.12406489
6.706329454,14.03158725,21.65912677,28.69695724,A,F,6.588139454,14.18313725,21.87574677,28.64918724
6.76522334,14.71543663,20.62700946,28.7682607,A,F,6.64703334,14.86698663,20.84362946,28.7204907
6.928737514,15.22043307,20.34419627,28.09498946,A,F,6.810547514,15.37198307,20.56081627,28.04721946
7.34272646,13.83275838,21.42993612,28.2656144,A,F,7.22453646,13.98430838,21.64655612,28.2178444
7.662126986,14.01605253,20.52148555,28.00148443,A,F,7.543936986,14.16760253,20.73810555,27.95371443
8.662443559,13.98683993,19.8713928,26.2751318,A,F,8.544253559,14.13838993,20.0880128,26.2273618
7.911117697,14.29954975,20.21398173,27.89366763,A,F,7.792927697,14.45109975,20.43060173,27.84589763
7.563835658,14.9539975,20.13634465,28.04305834,A,F,7.445645658,15.1055475,20.35296465,27.99528834
7.896518865,14.91819446,20.45746414,26.83915311,A,F,7.778328865,15.06974446,20.67408414,26.79138311
7.31932563,16.05931545,20.88732983,27.28251007,A,F,7.20113563,16.21086545,21.10394983,27.23474007
7.871187636,14.42502568,21.13337222,27.91589077,A,F,7.752997636,14.57657568,21.34999222,27.86812077
9.015036254,12.33999645,21.57811986,28.13771101,A,F,8.896846254,12.49154645,21.79473986,28.08994101
8.166102278,14.59882179,20.11075969,28.26608965,A,F,8.047912278,14.75037179,20.32737969,28.21831965
7.706078158,14.55544259,22.04852102,28.33968729,A,F,7.587888158,14.70699259,22.26514102,28.29191729
8.574786922,14.8081561,20.43197392,27.25293768,A,F,8.456596922,14.9597061,20.64859392,27.20516768
7.930196347,15.25945589,21.86969367,28.05573415,A,F,7.812006347,15.41100589,22.08631367,28.00796415
8.327400758,15.8440109,20.32083392,29.44032304,A,F,8.209210758,15.9955609,20.53745392,29.39255304
8.695039981,15.52299326,20.88408645,29.06014759,A,F,8.576849981,15.67454326,21.10070645,29.01237759
6.012520675,13.12610433,18.66419111,26.92798207,A,M,6.012520675,13.12610433,18.66419111,26.92798207
5.78581937,14.53254807,20.62877239,26.88133459,A,M,5.78581937,14.53254807,20.62877239,26.88133459
6.142179019,14.43151222,20.71106203,25.85901323,A,M,6.142179019,14.43151222,20.71106203,25.85901323
5.594462472,14.98144444,21.27597931,27.2507232,A,M,5.594462472,14.98144444,21.27597931,27.2507232
7.337556093,13.26781287,19.33765779,26.36456745,A,M,7.337556093,13.26781287,19.33765779,26.36456745
6.021527892,15.64185391,20.12267227,26.35929166,A,M,6.021527892,15.64185391,20.12267227,26.35929166
6.231035681,14.23608119,21.70127756,27.18389569,A,M,6.231035681,14.23608119,21.70127756,27.18389569
6.807692205,15.1388661,20.07010507,26.00978773,A,M,6.807692205,15.1388661,20.07010507,26.00978773
6.400634356,14.69912896,20.26323337,28.91090411,A,M,6.400634356,14.69912896,20.26323337,28.91090411
6.602214715,15.06167008,21.14690999,26.60520985,A,M,6.602214715,15.06167008,21.14690999,26.60520985
6.876211843,14.26987163,20.77345365,27.98202428,A,M,6.876211843,14.26987163,20.77345365,27.98202428
7.310314138,15.25927653,17.70850604,29.0116802,A,M,7.310314138,15.25927653,17.70850604,29.0116802
7.106048035,14.01009985,21.625814,27.06641512,A,M,7.106048035,14.01009985,21.625814,27.06641512
6.713681295,14.33915721,22.46278559,27.50479486,A,M,6.713681295,14.33915721,22.46278559,27.50479486
7.961417609,13.92198545,20.43571908,26.26523444,A,M,7.961417609,13.92198545,20.43571908,26.26523444
7.300472584,14.28611386,22.12404561,25.94023252,A,M,7.300472584,14.28611386,22.12404561,25.94023252
7.153986118,16.10437128,19.6630447,26.53572854,A,M,7.153986118,16.10437128,19.6630447,26.53572854
8.192530266,13.49930027,20.49089837,27.00043262,A,M,8.192530266,13.49930027,20.49089837,27.00043262
7.462510672,13.09950244,22.07090801,28.38975042,A,M,7.462510672,13.09950244,22.07090801,28.38975042
8.25847819,14.08690921,19.87615578,27.11435954,A,M,8.25847819,14.08690921,19.87615578,27.11435954
7.107433142,15.1314208,21.18512313,28.13048822,A,M,7.107433142,15.1314208,21.18512313,28.13048822
7.738994944,14.96714333,20.49362222,27.11085596,A,M,7.738994944,14.96714333,20.49362222,27.11085596
7.450211987,15.39718551,19.91358493,28.18543687,A,M,7.450211987,15.39718551,19.91358493,28.18543687
7.259059688,14.51131549,21.94687502,28.78271609,A,M,7.259059688,14.51131549,21.94687502,28.78271609
7.995852647,15.54332032,20.28703384,28.13485204,A,M,7.995852647,15.54332032,20.28703384,28.13485204
8.804809406,14.47556856,20.32193755,28.3480969,A,M,8.804809406,14.47556856,20.32193755,28.3480969
8.580930926,14.34459824,20.80913994,28.82312887,A,M,8.580930926,14.34459824,20.80913994,28.82312887
9.156934638,13.84122553,20.64467198,28.66664091,A,M,9.156934638,13.84122553,20.64467198,28.66664091
8.579388941,14.85267691,21.92985154,28.78829475,A,M,8.579388941,14.85267691,21.92985154,28.78829475
10.17767776,13.46699458,21.15365269,28.992569,A,M,10.17767776,13.46699458,21.15365269,28.992569
6.586002952,15.78515291,23.45688658,33.12595753,B,F,7.442188464,17.54800991,26.56185557,33.88478845
6.70040166,16.25910667,25.53145192,33.18995027,B,F,8.963658972,16.19777142,25.42444912,32.73590506
8.268570524,15.99819778,24.10066336,32.7924165,B,F,8.422769182,17.84653845,24.90790264,34.36246722
7.204938891,17.47276235,25.86230627,33.60194243,B,F,8.577156651,16.57147597,26.26540056,34.97580884
9.826388023,17.72382985,27.12230422,34.4445094,B,F,8.485273805,18.44934842,25.07283382,33.25862637
5.269815968,15.62281131,24.86911841,33.43094232,B,F,8.3261802,18.15312583,25.58256222,34.43116972
6.294021691,15.5509861,25.2321197,33.81822113,B,F,8.409713651,17.29168441,26.81281074,34.18009865
7.944651764,17.79749083,26.22001805,33.58246055,B,F,9.106973207,16.90861739,25.1033136,34.09778942
7.723620738,16.4084223,26.13863006,34.64311266,B,F,8.37673821,17.52865885,25.79427099,35.83315354
5.909122585,16.38413351,25.55416363,33.65176825,B,F,7.876265009,18.29053622,27.10550877,35.37689087
7.302484736,15.81736167,24.49899473,32.96447588,B,F,8.756860428,16.96223834,26.84292551,36.15779561
6.654640766,15.86521844,25.07970176,33.02864038,B,F,9.287159314,17.30090025,25.83236833,34.49478059
5.92544426,14.87144271,24.16761738,33.39097355,B,F,9.065979557,17.05326244,27.0345858,34.56894422
7.383508115,16.4200974,25.51872617,33.5087906,B,F,8.857630359,18.13392385,26.11474223,34.87071706
7.569092687,16.18293229,25.93168224,34.3597904,B,F,10.00785724,17.48928538,24.88265602,33.50109372
7.504485633,16.47579661,25.70782975,32.81760884,B,F,9.353555268,17.52640705,25.94732368,34.74473479
7.691276561,17.30288643,24.01465506,32.35054496,B,F,9.657931694,17.46874033,25.68205543,34.2329379
9.1258902,17.63918302,25.91311131,34.29673814,B,F,9.697928574,17.27619106,26.31687234,33.70275769
